WayIndex,WayId,NodeIndex,NodeId,Longitude,Latitude,Place
1,436546907,1,4343304907,20.5741632,41.4119843,Дебар
1,436546907,2,4957301811,20.5749156,41.4120161,Дебар
1,436546907,3,4957957480,20.5750829,41.4120232,Дебар
1,436546907,4,694543042,20.5752708,41.4120311,Дебар
2,227935279,1,4343304901,20.5599475,41.4084921,Дебар
2,227935279,2,4343304902,20.5618787,41.4091198,Дебар
2,227935279,3,2367904062,20.5631769,41.4094175,Дебар
2,227935279,4,4343304903,20.5634988,41.4094336,Дебар
2,227935279,5,4343304904,20.5644644,41.4097555,Дебар
2,227935279,6,4343304905,20.5721784,41.4114050,Дебар
2,227935279,7,4343304906,20.5724359,41.4114452,Дебар
2,227935279,8,4343304907,20.5741632,41.4119843,Дебар
3,436441574,1,4343304908,20.5572142,41.4157564,Дебар
3,436441574,2,694543041,20.5574087,41.4153012,Дебар
3,436441574,3,694543049,20.5580548,41.4141279,Дебар
3,436441574,4,694543047,20.5590257,41.4120919,Дебар
3,436441574,5,694543046,20.5592571,41.4111931,Дебар
3,436441574,6,694543045,20.5596353,41.4095148,Дебар
3,436441574,7,4343304901,20.5599475,41.4084921,Дебар
4,193460553,1,2039803331,20.5473810,41.4220595,Дебар
4,193460553,2,694543079,20.5505588,41.4203629,Дебар
4,193460553,3,694543051,20.5569115,41.4169392,Дебар
4,193460553,4,694543044,20.5573409,41.4165399,Дебар
4,193460553,5,694543043,20.5574144,41.4161784,Дебар
4,193460553,6,4343304908,20.5572142,41.4157564,Дебар
5,83469988,1,694543057,20.5235757,41.4385863,Дебар
5,83469988,2,694543060,20.5243261,41.4381083,Дебар
5,83469988,3,694543059,20.5250056,41.4376032,Дебар
5,83469988,4,694543063,20.5257083,41.4366604,Дебар
5,83469988,5,694543062,20.5270269,41.4362916,Дебар
5,83469988,6,694543065,20.5289137,41.4360587,Дебар
5,83469988,7,694543064,20.5306559,41.4361461,Дебар
5,83469988,8,694543061,20.5321850,41.4361790,Дебар
5,83469988,9,694543075,20.5335383,41.4359439,Дебар
5,83469988,10,694543077,20.5347833,41.4359222,Дебар
5,83469988,11,694543076,20.5370558,41.4364660,Дебар
5,83469988,12,694543071,20.5379086,41.4365764,Дебар
5,83469988,13,694543072,20.5385509,41.4362849,Дебар
5,83469988,14,694543073,20.5396934,41.4356747,Дебар
5,83469988,15,694543074,20.5401017,41.4352441,Дебар
5,83469988,16,694543066,20.5404852,41.4343413,Дебар
5,83469988,17,694543067,20.5405620,41.4335396,Дебар
5,83469988,18,694543068,20.5405319,41.4327643,Дебар
5,83469988,19,694543069,20.5401882,41.4310788,Дебар
5,83469988,20,694543070,20.5399129,41.4298299,Дебар
5,83469988,21,694543054,20.5392126,41.4282767,Дебар
5,83469988,22,694543055,20.5383304,41.4273108,Дебар
5,83469988,23,694543056,20.5387246,41.4268847,Дебар
5,83469988,24,694543052,20.5411525,41.4255044,Дебар
5,83469988,25,694543053,20.5434901,41.4243715,Дебар
5,83469988,26,694543078,20.5452035,41.4234427,Дебар
5,83469988,27,2039803331,20.5473810,41.4220595,Дебар
6,436546910,1,697758105,20.5203436,41.4381128,Дебар
6,436546910,2,694543011,20.5213353,41.4385236,Дебар
6,436546910,3,694543058,20.5225428,41.4387692,Дебар
6,436546910,4,694543057,20.5235757,41.4385863,Дебар
7,83470039,1,4344332572,20.4946320,41.4917085,Дебар
7,83470039,2,4948853790,20.4946626,41.4915865,Дебар
7,83470039,3,4948853791,20.4945511,41.4913986,Дебар
7,83470039,4,4948853794,20.4943676,41.4911686,Дебар
7,83470039,5,4948853793,20.4944105,41.4910480,Дебар
7,83470039,6,4948853789,20.4942013,41.4907667,Дебар
7,83470039,7,4948853795,20.4940136,41.4907667,Дебар
7,83470039,8,4948853798,20.4939331,41.4905658,Дебар
7,83470039,9,4948853797,20.4940350,41.4904372,Дебар
7,83470039,10,4948853792,20.4940296,41.4902203,Дебар
7,83470039,11,4948853788,20.4944266,41.4902564,Дебар
7,83470039,12,4948853799,20.4946734,41.4904774,Дебар
7,83470039,13,697758258,20.4949468,41.4903936,Дебар
7,83470039,14,697758256,20.4958418,41.4889125,Дебар
7,83470039,15,1842120873,20.4961791,41.4879374,Дебар
7,83470039,16,697758254,20.4970034,41.4873476,Дебар
7,83470039,17,697758250,20.4969062,41.4867340,Дебар
7,83470039,18,1842120837,20.4963969,41.4865079,Дебар
7,83470039,19,697758253,20.4967821,41.4858465,Дебар
7,83470039,20,697758248,20.4972352,41.4855870,Дебар
7,83470039,21,1842120799,20.4983778,41.4850481,Дебар
